Entity,Code,Year,renewable_generation__twh_chart_elec_fossil_nuclear_renewables,nuclear_generation__twh_chart_elec_fossil_nuclear_renewables,fossil_generation__twh_chart_elec_fossil_nuclear_renewables,renewable_generation__twh_chart_elec_fossil_nuclear_renewables,nuclear_generation__twh_chart_elec_fossil_nuclear_renewables,fossil_generation__twh_chart_elec_fossil_nuclear_renewables
Brazil,BRA,1990,210.56706,2.237,10.016052,210.56706,2.237,10.016052
Brazil,BRA,1991,221.78162,1.442,11.152684,221.78162,1.442,11.152684
Brazil,BRA,1992,228.27237,1.759,11.730592,228.27237,1.759,11.730592
Brazil,BRA,1993,240.04893,0.442,11.512184,240.04893,0.442,11.512184
Brazil,BRA,1994,248.09332,0.055,11.892286,248.09332,0.055,11.892286
Brazil,BRA,1995,259.49884,2.519,13.583602,259.49884,2.519,13.583602
Brazil,BRA,1996,272.4905,2.427,16.32803,272.4905,2.427,16.32803
Brazil,BRA,1997,286.35547,3.169,18.456326,286.35547,3.169,18.456326
Brazil,BRA,1998,298.9794,3.265,19.504225,298.9794,3.265,19.504225
Brazil,BRA,1999,301.37802,3.977,29.004713,301.37802,3.977,29.004713
Brazil,BRA,2000,312.26,6.05,30.62,312.26,6.05,30.62
Brazil,BRA,2001,276.93,14.28,37.34,276.93,14.28,37.34
Brazil,BRA,2002,296.42,13.84,35.46,296.42,13.84,35.46
Brazil,BRA,2003,317.62,13.36,33.41,317.62,13.36,33.41
Brazil,BRA,2004,333.38,11.61,42.5,333.38,11.61,42.5
Brazil,BRA,2005,351.19,9.85,42.03,351.19,9.85,42.03
Brazil,BRA,2006,363.89,13.75,41.81,363.89,13.75,41.81
Brazil,BRA,2007,392.74,12.35,40.06,392.74,12.35,40.06
Brazil,BRA,2008,390.53,13.97,58.68,390.53,13.97,58.68
Brazil,BRA,2009,415.11,12.96,38.1,415.11,12.96,38.1
Brazil,BRA,2010,437.41,14.52,63.87,437.41,14.52,63.87
Brazil,BRA,2011,463.66,15.66,52.44,463.66,15.66,52.44
Brazil,BRA,2012,456.16,16.04,80.3,456.16,16.04,80.3
Brazil,BRA,2013,438.54,15.45,116.84,438.54,15.45,116.84
Brazil,BRA,2014,432.75,15.38,142.42,432.75,15.38,142.42
Brazil,BRA,2015,431.31,14.73,135.18,431.31,14.73,135.18
Brazil,BRA,2016,465.82,15.86,97.21,465.82,15.86,97.21
